Submission_Id,Problem Name,User_Rating,User_Name,Tags,Tags_n,Problem_Rating,,,,,
147974905,102CHomework,796,Hossam_Hassan.,['greedy'],['greedy'],1200,,,,,
147974903,449BJzzhu and Cities,,bkifhr8,"['graphs', 'greedy', 'shortest paths']","['graphs', 'greedy', 'shortest paths']",2000,,,,,
147974902,1642CGreat Sequence,1294,g906360,"['greedy', 'sortings']","['greedy', 'sortings']",,,,,,
147974900,260BAncient Prophesy,1134,AkshitSingla,"['brute force', 'implementation', 'strings']","['brute force', 'implementation', 'strings']",1600,,,,,
147974899,1635BAvoid Local Maximums,362,MM_Pioneer,['greedy'],['greedy'],800,,,,,
147974898,1633CKill the Monster,1203,vaibhav______________,"['brute force', 'math']","['brute force', 'math']",1100,,,,,
147974897,550BPreparing Olympiad,,bkifhr10,"['bitmasks', 'brute force']","['bitmasks', 'brute force']",1400,,,,,
147974896,160ATwins,613,ashu012002,"['greedy', 'sortings']","['greedy', 'sortings']",900,,,,,
147974895,1618CPaint the Array,738,INMESSIONANTE,['math'],['math'],1100,,,,,
147974894,994BKnights of a Polygonal Table,1457,airths,"['greedy', 'implementation', 'sortings']","['greedy', 'implementation', 'sortings']",1400,,,,,
147974893,103577DDerivative of polynomial,1884,Just_Josh,[],[],,,,,,
147974890,1266BDice Tower,927,Anticipate,"['constructive algorithms', 'math']","['constructive algorithms', 'math']",1000,,,,,
147974889,556ACase of the Zeros and Ones,605,HTG_18,['greedy'],['greedy'],900,,,,,
147974886,1055AMetro,803,AnshumanSingh11,['graphs'],['graphs'],900,,,,,
147974885,734CAnton and Making Potions,2396,sohsoh,"['binary search', 'dp', 'greedy', 'two pointers']","['binary search', 'dp', 'greedy', 'two pointers']",1600,,,,,
147974883,1272FTwo Bracket Sequences,2057,Bedo_Sayed,"['dp', 'strings', 'two pointers']","['dp', 'strings', 'two pointers']",2200,,,,,
147974882,320AMagic Numbers,1390,mdolchik,"['brute force', 'greedy']","['brute force', 'greedy']",900,,,,,
147974881,312BArcher,1666,Hydron,"['math', 'probabilities']","['math', 'probabilities']",1300,,,,,
147974880,1642CGreat Sequence,1127,tanishka0107,"['greedy', 'sortings']","['greedy', 'sortings']",,,,,,
147974878,236ABoy or Girl,,vjudge3,"['brute force', 'implementation', 'strings']","['brute force', 'implementation', 'strings']",800,,,,,
147974873,1615BAnd It's Non-Zero,1315,Iklaq_ahmad,"['bitmasks', 'greedy', 'math']","['bitmasks', 'greedy', 'math']",1300,,,,,
147974872,1613ALong Comparison,702,the_hungry_lad,"['implementation', 'math']","['implementation', 'math']",900,,,,,
147974871,1618ESingers' Tour,1498,Ikkkkkkms,"['constructive algorithms', 'math']","['constructive algorithms', 'math']",1700,,,,,
147974869,1352CK-th Not Divisible by n,1158,Mohd_Arbaz,"['binary search', 'math']","['binary search', 'math']",1200,,,,,
147974866,444DDZY Loves Strings,2634,leaf1415,"['binary search', 'hashing', 'strings', 'two pointers']","['binary search', 'hashing', 'strings', 'two pointers']",2500,,,,,
147974865,1ATheatre Square,,Khaled_3.141,['math'],['math'],1000,,,,,
147974863,698AVacations,1142,vaibhav_1710,['dp'],['dp'],1400,,,,,
147974862,1480CSearching Local Minimum,602,ja3far,"['binary search', 'interactive', 'math', 'ternary search']","['binary search', 'interactive', 'math', 'ternary search']",1700,,,,,
147974861,124AThe number of positions,413,mr_miraclee,['math'],['math'],1000,,,,,
147974859,550ATwo Substrings,1021,roshan2412,"['brute force', 'dp', 'greedy', 'implementation', 'strings']","['brute force', 'dp', 'greedy', 'implementation', 'strings']",1500,,,,,
147974857,1635ECars,1020,ltunjic,"['2-sat', 'constructive algorithms', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'sortings']","['2-sat', 'constructive algorithms', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'sortings']",2200,,,,,
147974856,383CPropagating tree,1200,nikola352,"['data structures', 'dfs and similar', 'trees']","['data structures', 'dfs and similar', 'trees']",2000,,,,,
147974854,455CCivilization,1366,Indranildgupta,"['dfs and similar', 'dp', 'dsu', 'ternary search', 'trees']","['dfs and similar', 'dp', 'dsu', 'ternary search', 'trees']",2100,,,,,
147975048,676CVasya and String,1492,Ayushman_123,"['binary search', 'dp', 'strings', 'two pointers']","['binary search', 'dp', 'strings', 'two pointers']",1500,,,,,
147975047,151BPhone Numbers,1166,wasd_IP7O2,"['implementation', 'strings']","['implementation', 'strings']",1200,,,,,
147975045,1446AKnapsack,1423,ayerhs_7,"['constructive algorithms', 'greedy', 'sortings']","['constructive algorithms', 'greedy', 'sortings']",1300,,,,,
147975044,1644ADoors and Keys,2275,dnshgyl21,['implementation'],['implementation'],,,,,,
